['BIET', 'BHARAT INSTITUTE OF ENGG AND TECHNOLOGY', 'IBRAHIMPATNAM', 'RR', 'COED', 'PVT', '2001', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '55046', '55046', '82451', '87204', '87355', '87355', '65063', '65063', '62987', '62987', '86316', '86316', '86360', '86360', '64893', '64893', '89000', 'JNTUH'],
['BIET', 'BHARAT INSTITUTE OF ENGG AND TECHNOLOGY', 'IBRAHIMPATNAM', 'RR', 'COED', 'PVT', '2001', 'EEE', 'ELECTRICAL AND ELECTRONICS ENGINEERING', '57088', '57088', '70664', '70664', '76387', '76387', '57088', '57088', '68570', '68570', '86602', '86602', '76299', '76299', '57088', '72422', '89000', 'JNTUH'],
['BIET', 'BHARAT INSTITUTE OF ENGG AND TECHNOLOGY', 'IBRAHIMPATNAM', 'RR', 'COED', 'PVT', '2001', 'INF', 'INFORMATION TECHNOLOGY', '40879', '42577', '66228', '66566', '61226', '61226', '40879', '42577', '49978', '50067', '44794', '44794', '45149', '86954', '43752', '44240', '89000', 'JNTUH'],
['BIET', 'BHARAT INSTITUTE OF ENGG AND TECHNOLOGY', 'IBRAHIMPATNAM', 'RR', 'COED', 'PVT', '2001', 'MEC', 'MECHANICAL ENGINEERING', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '89000', 'JNTUH'],
['BITN', 'BALAJI INSTITUTE OF TECHNOLOGY AND SCI', 'NARSAMPET', 'WGR', 'COED', 'PVT', '2001', 'CIV', 'CIVIL ENGINEERING', '83774', '83774', '83774', '83774', '90496', '90496', '83774', '83774', '83774', '83774', '83774', '83774', '90953', '90953', '90899', '90899', '60000', 'JNTUH'],
['BITN', 'BALAJI INSTITUTE OF TECHNOLOGY AND SCI', 'NARSAMPET', 'WGR', 'COED', 'PVT', '2001', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '60284', '60284', '73617', '73617', '75046', '75046', '62731', '62731', '61674', '61674', '75569', '87093', '91257', '91257', '85872', '85872', '60000', 'JNTUH'],
['BITN', 'BALAJI INSTITUTE OF TECHNOLOGY AND SCI', 'NARSAMPET', 'WGR', 'COED', 'PVT', '2001', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '88402', '88402', '88402', '88402', '88402', '88402', '88402', '88402', '88402', '88402', '88402', '88402', '90545', '90545', '88402', '88402', '60000', 'JNTUH'],
['BITN', 'BALAJI INSTITUTE OF TECHNOLOGY AND SCI', 'NARSAMPET', 'WGR', 'COED', 'PVT', '2001', 'EEE', 'ELECTRICAL AND ELECTRONICS ENGINEERING', '68900', '68900', '68900', '68900', '68900', '68900', '68900', '68900', '68900', '68900', '68900', '68900', '91187', '91187', '84672', '84672', '60000', 'JNTUH'],
['BITN', 'BALAJI INSTITUTE OF TECHNOLOGY AND SCI', 'NARSAMPET', 'WGR', 'COED', 'PVT', '2001', 'MEC', 'MECHANICAL ENGINEERING', '59561', '59561', '59561', '91035', '73613', '88882', '59561', '59561', '59561', '83261', '87022', '87022', '87672', '87672', '59561', '59561', '60000', 'JNTUH'],
['BOMA', 'BOMMA INST OF TECHNOLOGY AND SCI', 'KHAMMAM', 'KHM', 'COED', 'PVT', '2006', 'CSE', 'COMPUTER SCIENCE  AND  ENGINEERING', '74768', '74768', '74768', '74768', '74768', '79677', '74768', '74768', '74768', '74768', '74768', '74768', '82198', '82198', '90226', '90226', '50400', 'JNTUH'],
['BOMA', 'BOMMA INST OF TECHNOLOGY AND SCI', 'KHAMMAM', 'KHM', 'COED', 'PVT', '2006', 'ECE', 'ELECTRONICS AND COMMUNICATION ENGINEERING', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '91347', '50400', 'JNTUH'],
['BOMA', 'BOMMA INST OF TECHNOLOGY AND SCI', 'KHAMMAM', 'KHM', 'COED', 'PVT', '2006', 'EEE', 'ELECTRICAL AND ELECTRONICS ENGINEERING', '72627', '76003', '72627', '76003', '85372', '85372', '72627', '76003', '72627', '76003', '72627', '76003', '85336', '85336', '72627', '76003', '50400', 'JNTUH'],
